druckort,dbsm_count,location,lat,lon
Nozzano,,"Nozzano, Via della Stazione, Castiglioncello, Balbano, Lucca, Toscana, 55050, Italia",43.8299769,10.4071698
Nürnberg,,"Nürnberg, Bayern, Deutschland",49.453872,11.077298
Oberrhein,,"Mittlerer Oberrhein, Baden-Württemberg, Deutschland",48.9383494,8.36151386218039
Odense,,"Odense, Odense Kommune, Region Syddanmark, 5000, Danmark",55.3997225,10.3852104
Offenburg,1.0,"Offenburg, Verwaltungsgemeinschaft Offenburg, Ortenaukreis, Baden-Württemberg, Deutschland",48.4716556,7.944378
Olmütz,,"Olomouc, okres Olomouc, Olomoucký kraj, Střední Morava, Česko",49.5940567,17.251143
Oppenheim,,"Oppenheim, Rhein-Selz, Landkreis Mainz-Bingen, Rheinland-Pfalz, 55276, Deutschland",49.8527604,8.3548557
Orense,,"Ourense, Galicia, España",42.1968459,-7.6114105
Orléans,,"Orléans, Loiret, Centre-Val de Loire, France métropolitaine, France",47.9027336,1.9086066
Oviedo,,"Oviedo, Asturias / Asturies, España",43.3605977,-5.8448989
Oxford,,"Oxford, UK",51.75145821277631, -1.2541125771967359
Padua,4.0,"Padova, Veneto, Italia",45.4077172,11.8734455
Palermo,,"Palermo, Sicilia, Italia",38.1112268,13.3524434
Pamplona,,"Pamplona/Iruña, Navarra - Nafarroa, España",42.8184538,-1.6442556
Paris,13.0,"Paris, Île-de-France, France métropolitaine, France",48.8566969,2.3514616
Parma,3.0,"Parma, Emilia-Romagna, Italia",44.8013678,10.3280833
Passau,1.0,"Passau, Bayern, Deutschland",48.5748229,13.4609744
Pavia,3.0,"Pavia, Lombardia, Italia",45.036854649999995,9.137825082826026
Périgueux,,"Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24000, France",45.1909365,0.7184407
Perpignan,,"Perpignan, Pyrénées-Orientales, Occitanie, France métropolitaine, France",42.6985304,2.8953121
Perugia,1.0,"Perugia, Umbria, Italia",43.1070321,12.402996209906487
Pesaro,,"Pesaro, Pesaro e Urbino, Marche, Italia",43.9098114,12.9131228
Pescia,1.0,"Pescia, Pistoia, Toscana, 51017, Italia",43.90171,10.6897811
Pforzheim,1.0,"Pforzheim, Baden-Württemberg, Deutschland",48.8908846,8.7029532
Piacenza,,"Piacenza, Emilia-Romagna, Italia",44.8476352,9.666531257696896
Pilsen,,"Plzeň, okres Plzeň-město, Plzeňský kraj, Jihozápad, Česko",49.7477415,13.3775249
Pinerolo,1.0,"Pinerolo, Torino, Piemonte, 10064, Italia",44.8873086,7.3319454
Piove di Sacco,,"Piove di Sacco, Padova, Veneto, 35028, Italia",45.297692,12.036814
Pisa,1.0,"Pisa, Toscana, Italia",43.7159395,10.4018624
Pogliano,,"Pogliano, Moncucco Torinese, Asti, Piemonte, 14024, Italia",45.0773346,7.9479602
Poitiers,,"Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86000, France",46.5802596,0.340196
