"idn","year"
1072015080,1754
1072015870,1754
1072015897,1754
1072015900,1754
1072015978,1754
"107201601X",1754
1072016044,1754
1072016060,1754
1072016370,1754
1072016508,1754
1072016540,1754
1072016559,1754
1072016575,1754
1072016621,1754
"107201663X",1754
1072016656,1754
1072016745,1754
1072016788,1754
1072016796,1754
"107201680X",1754
1072016834,1754
1072016842,1754
1072016850,1754
1072016915,1754
1072016923,1754
"107201694X",1754
1072016966,1754
1072017024,1754
1072017040,1754
1072017067,1754
1072017180,1754
1072017202,1754
1072017229,1754
1072017393,1754
1072018128,1754
1072018144,1754
1072018152,1754
1072018160,1754
1072018179,1754
1072018217,1754
1072018276,1754
1072018284,1754
1072018314,1754
1072018357,1754
1072018365,1754
"107201839X",1754
1072018446,1754
1072018500,1754
1072018543,1754
1072018578,1754
1072018586,1754
1072018616,1754
1072018632,1754
1072018640,1754
1072018659,1754
1072018667,1754
1072018675,1754
1072018705,1754
1072018713,1754
1072018721,1754
"107201873X",1754
1072018764,1754
1072018772,1754
1072018799,1754
1072018810,1754
1072018837,1754
1072018845,1754
1072018853,1754
1072018861,1754
"107201887X",1754
1072018888,1754
"107201890X",1754
"107230645X",1754
1072307553,1754
1072316218,1754
"107231701X",1754
"107231763X",1754
1072317699,1754
1072317761,1754
1072317834,1754
1072317869,1754
"107231794X",1754
1072318059,1754
1072319381,1754
"107231956X",1754
1072319810,1754
1072397242,1754
1072397285,1754
1072397536,1754
1072397579,1754
1072397625,1754
1072397684,1754
1072397765,1754
1072397978,1754
"107239801X",1754
"107239832X",1754
1072398370,1754
1072398443,1754
"107239894X",1754
1072398990,1754
1072399024,1754
1072399946,1754
1072399962,1754
1072400251,1754
1072400308,1754
1072417561,1754
1072417618,1754
1072417669,1754
1072417715,1754
1072417758,1754
1072417774,1754
1072417812,1754
1072417847,1754
1072417871,1754
1072418029,1754
1072418061,1754
1072418142,1754
1072418207,1754
1072477068,1754
1072477149,1754
1072477246,1754
1072477378,1754
1072477424,1754
1072477777,1754
1072478234,1754
1072478307,1754
1072478374,1754
1072478498,1754
1072480336,1754
1072480522,1754
1072480697,1754
1072480816,1754
1072480905,1754
1072482193,1754
"107248224X",1754
1072482274,1754
1072482568,1754
1072482622,1754
1072482681,1754
1072482738,1754
1072482932,1754
1072488361,1754
1072488965,1754
1072489066,1754
"107249051X",1754
1072490668,1754
1072490692,1754
1072490773,1754
1072490870,1754
1072491664,1754
1072491680,1754
1072491729,1754
1072491788,1754
"107249180X",1754
1072491826,1754
1072491869,1754
1072491877,1754
1072491931,1754
1072492008,1754
1072492032,1754
1072492083,1754
1072492113,1754
1072492148,1754
1072492318,1754
1072492350,1754
1072492407,1754
1072492504,1754
1072492520,1754
1072492555,1754
1072492601,1754
1072492636,1754
1072492679,1754
1072492695,1754
1072647834,1754
1072647869,1754
1072647885,1754
1072647923,1754
1072647931,1754
"107264794X",1754
1072647966,1754
1072647990,1754
1072648008,1754
1072648016,1754
1072648059,1754
1072648229,1754
1072648237,1754
1072648245,1754
1072648318,1754
1072648326,1754
1072648334,1754
1072648377,1754
1072648431,1754
1072648512,1754
