id;ort;count;location;lat;lon
203;Esslingen am Neckar;15;Esslingen am Neckar, Landkreis Esslingen, Baden-Württemberg, Deutschland;48.7427584;9.3071685
204;Fulda;15;Fulda, Landkreis Fulda, Hessen, Deutschland;50.5521486;9.676511
205;Glatz;15;Kłodzko, gmina Kłodzko, powiat kłodzki, województwo dolnośląskie, 57-300, Polska;50.43371175;16.642246491692106
206;Leiden;15;Leiden, Zuid-Holland, Nederland;52.1518157;4.4811088666204295
207;Hirschberg im Riesengebirge;15;Jelenia Góra, Wincentego Pola, Jelenia Góra, województwo dolnośląskie, 58-500, Polska;50.9025882;15.7559869
208;Meiningen;15;Meiningen, Ost, Kernstadt Meiningen, Meiningen, Landkreis Schmalkalden-Meiningen, Thüringen, 98617, Deutschland;50.57342505;10.428371137607764
209;Braunsberg (Ostpreußen);15;;;
210;Biel;14;Bielle, Oloron-Sainte-Marie, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64260, France;43.0559092;-0.43253
211;Klausenburg;14;Cluj-Napoca, Zona Metropolitană Cluj, Cluj, România;46.769379;23.5899542
212;Straubing;14;Straubing, Bayern, 94315, Deutschland;48.8819801;12.569716
213;Greiz;14;Greiz, Thüringen, Deutschland;50.7783814;12.0763533
214;Guben;14;Guben, Spree-Neiße, Brandenburg, 03172, Deutschland;51.9503235;14.7153567
215;Eisleben;14;Lutherstadt Eisleben, Mansfeld-Südharz, Sachsen-Anhalt, 06295, Deutschland;51.5283282;11.5465911
216;Grimma;14;Grimma, Landkreis Leipzig, Sachsen, 04668, Deutschland;51.2383379;12.7287511
217;Jauer;14;Jawor, gmina Męcinka, powiat jaworski, województwo dolnośląskie, Polska;51.067702100000005;16.197613635866436
218;Arnstadt;14;Arnstadt, Ilm-Kreis, Thüringen, Deutschland;50.8349097;10.9461479
219;Bremerhaven;14;Bremerhaven, Bremen, Deutschland;53.5522264;8.5865509
220;Karlsbad;14;Karlovy Vary, okres Karlovy Vary, Karlovarský kraj, Severozápad, Česko;50.2304694;12.8710769
221;Klagenfurt;14;Klagenfurt am Wörthersee, Kärnten, Österreich;46.6228162;14.3079604
222;Minden (Westf);14;Minden (Westf), Bundesbahnhof, Rechtes Weserufer, Minden, Kreis Minden-Lübbecke, Nordrhein-Westfalen, 32423, Deutschland;52.2905618;8.9344598
223;Luxemburg;13;Lëtzebuerg;49.8158683;6.1296751
224;Odessa;13;Одеса, Одеський район, Одеська область, Україна;46.4873195;30.7392776
225;Reichenberg;13;Liberec, okres Liberec, Liberecký kraj, Severovýchod, Česko;50.7702648;15.0583947
226;Schleiz;13;Schleiz, Saale-Orla-Kreis, Thüringen, Deutschland;50.5590505;11.8040013
227;Celle;13;Celle, Landkreis Celle, Niedersachsen, Deutschland;52.624056;10.081052
228;Lahr/Schwarzwald;13;Lahr/Schwarzwald, Verwaltungsgemeinschaft Lahr/Schwarzwald, Ortenaukreis, Baden-Württemberg, 77933, Deutschland;48.338896;7.8710825
229;Löbau;13;Löbau, Görlitz, Sachsen, 02708, Deutschland;51.0947288;14.6692423
230;Sangerhausen;13;Sangerhausen, Mansfeld-Südharz, Sachsen-Anhalt, Deutschland;51.4729797;11.2981851
231;Einsiedeln;13;Einsiedeln, Schwyz, 8840, Schweiz/Suisse/Svizzera/Svizra;47.1286095;8.7500299
232;Meerane;13;Meerane, Meerane-Schönberg, Zwickau, Sachsen, 08393, Deutschland;50.8427835;12.4581578
233;Lüneburg;13;Lüneburg, Niedersachsen, Deutschland;53.248706;10.407855
234;Soest;13;Soest, Kreis Soest, Nordrhein-Westfalen, 59494, Deutschland;51.5725501;8.1061259
235;Czernowitz;13;Чернівці, Чернівецька міська громада, Чернівецький район, Чернівецька область, Україна;48.2864702;25.9376532
236;Beuthen;13;Bytom, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.3657432;18.87153251609449
237;Graudenz;13;Grudziądz, powiat świecki, województwo kujawsko-pomorskie, Polska;53.47251195;18.761893676880046
238;Marienburg;12;Malbork, gmina Malbork, powiat malborski, województwo pomorskie, 82-200, Polska;54.0287383;19.039396385383558
239;Aschersleben;12;Aschersleben, Salzlandkreis, Sachsen-Anhalt, 06449, Deutschland;51.7559549;11.462134
240;Herisau;12;Herisau, Hinterland, Appenzell Ausserrhoden, Schweiz/Suisse/Svizzera/Svizra;47.38555;9.2787571
241;Bozen;12;Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia;46.65594215;11.229637264169462
242;Lippstadt;12;Lippstadt, Kreis Soest, Nordrhein-Westfalen, Deutschland;51.6747074;8.347194
243;Gütersloh;12;Gütersloh, Kreis Gütersloh, Nordrhein-Westfalen, Deutschland;51.9063997;8.3782078
